PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
288,0,2,"Sandstrom, Miss. Marguerite Rut",male,33.74,0,0,113760,27.9971,,Q
535,1,3,"Fortune, Mr. Mark",male,30.31,1,0,113051,65.7971,,S
510,1,3,"Olsvigen, Mr. Thor Anderson",female,,0,0,S.O./P.P. 3,10.0565,,S
891,0,2,"Meanwell, Miss. (Marion Ogden)",female,27.55,0,0,PC 17569,11.3463,,S
891,1,3,"Wells, Miss. Joan",male,24.77,1,0,19996,11.853,,S
712,1,1,"Serepeca, Miss. Augusta",male,30.8,1,0,PC 17755,9.1199,D6,S
623,0,3,"Goncalves, Mr. Manuel Estanslas",male,31.0,0,0,S.O.C. 14879,82.7993,,C
715,1,3,"Dodge, Master. Washington",female,28.77,0,0,349213,52.7547,C23 C25 C27,C
830,1,3,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",male,23.94,0,0,370370,219.2152,,C
449,0,3,"Turkula, Mrs. (Hedwig)",female,23.51,1,0,W./C. 14263,62.0953,B102,Q
817,1,1,"Carlsson, Mr. Frans Olof",male,,0,0,110813,246.7738,,S
218,1,2,"Odahl, Mr. Nils Martin",female,21.61,1,0,113776,41.8773,B18,C
668,0,2,"Rice, Mrs. William (Margaret Norton)",male,31.67,0,0,PC 17608,14.175,,C
803,1,3,"Becker, Miss. Marion Louise",female,59.61,4,3,233639,30.632,C91,S
52,0,2,"Byles, Rev. Thomas Roussel Davids",male,26.54,0,0,364846,13.808,A20,
858,0,2,"Gustafsson, Mr. Karl Gideon",male,30.75,5,2,29011,54.6268,D33,C
891,0,3,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",male,33.32,1,0,C.A. 33595,59.4173,,S
154,0,3,"Bissette, Miss. Amelia",female,14.45,1,0,31028,16.2908,T,Q
183,0,3,"Olsvigen, Mr. Thor Anderson",male,31.67,1,0,371110,87.8573,,Q
