PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
775,1,3,"Pinsky, Mrs. (Rosa)",male,50.89,1,0,113505,10.9778,,S
263,1,3,"Thorneycroft, Mr. Percival",male,,0,1,29106,14.1013,,S
787,1,3,"Carter, Miss. Lucile Polk",male,23.36,0,0,11751,12.8427,,C
284,1,3,"Betros, Mr. Tannous",female,,0,4,110413,4.1463,,S
734,1,3,"McKane, Mr. Peter David",male,72.22,0,0,111428,6.8596,B28,S
606,1,3,"Longley, Miss. Gretchen Fiske",male,29.12,0,0,11668,12.2939,C104,C
598,1,3,"Johnson, Mr. Alfred",male,22.18,1,0,364506,10.7913,E24,C
518,1,3,"O'Brien, Mr. Timothy",male,16.14,0,0,2661,12.4884,,C
619,1,1,"Holm, Mr. John Fredrik Alexander",male,24.43,1,0,SCO/W 1585,10.1281,,C
370,0,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,0.57,1,0,19950,10.7171,,S
706,1,3,"Abelson, Mr. Samuel",female,,0,1,11769,51.2024,,S
549,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",male,31.05,0,0,PC 17596,12.0122,,S
566,1,2,"Coutts, Master. Eden Leslie ""Neville""",female,,1,0,2626,10.9209,,S
12,1,3,"Leitch, Miss. Jessie Wills",male,58.12,0,1,349256,102.7691,,S
380,1,3,"Ryerson, Miss. Emily Borie",male,,0,0,PC 17582,34.9583,,C
594,1,2,"Hodges, Mr. Henry Price",female,31.34,3,0,CA. 2343,12.5485,,S
367,1,1,"Badt, Mr. Mohamed",male,27.88,0,0,364506,32.9266,D21,S
611,1,3,"Farthing, Mr. John",female,18.23,0,0,2666,26.7175,,S
568,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",male,30.3,0,0,364850,19.4241,,S
476,1,2,"Moore, Mr. Leonard Charles",male,17.8,0,0,347088,14.7417,C124,S
491,1,3,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",male,38.44,0,1,17421,29.3564,,C
475,1,3,"Vander Planke, Miss. Augusta Maria",female,28.96,1,1,C.A. 29395,5.0475,,S
497,1,3,"Lahoud, Mr. Sarkis",male,32.16,0,0,345783,15.4842,,C
1,1,1,"Guggenheim, Mr. Benjamin",male,,0,1,SCO/W 1585,8.1048,,S
448,1,3,"Gustafsson, Mr. Anders Vilhelm",male,27.21,0,0,349257,79.4224,E33,Q
539,1,3,"Sandstrom, Miss. Marguerite Rut",female,14.8,0,0,33638,14.2778,,S
1,1,3,"Coleridge, Mr. Reginald Charles",female,,0,0,349207,65.8214,C47,C
806,1,1,"Nirva, Mr. Iisakki Antino Aijo",male,25.39,0,0,SOTON/OQ 392090,70.0552,,C
177,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",male,,0,0,110564,12.5494,,C
723,0,3,"Kassem, Mr. Fared",male,30.14,2,5,376564,512.3292,,C
616,1,3,"Ayoub, Miss. Banoura",male,63.31,0,1,C.A. 33112,11.6714,,S
608,1,2,"Thomas, Master. Assad Alexander",female,,1,0,113798,123.951,C91,S
1,1,3,"Harrison, Mr. William",male,57.48,0,0,S.O.C. 14879,8.26,,S
716,0,3,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,20.29,0,0,315037,4.179,F2,C
26,1,2,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,,0,0,C.A. 2673,459.0711,,Q
364,1,2,"Greenfield, Mr. William Bertram",male,46.28,0,0,2668,42.3624,C101,S
630,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",male,30.37,0,2,347089,10.0487,,C
603,1,3,"Rouse, Mr. Richard Henry",male,75.99,1,0,C 7077,40.7296,G6,C
479,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",male,32.48,1,0,13507,15.5421,,S
257,1,1,"Brewe, Dr. Arthur Jackson",female,28.22,0,0,13502,23.0742,,S
848,1,3,"Bissette, Miss. Amelia",female,,0,2,27849,45.2744,,S
636,1,2,"Peter, Miss. Anna",male,48.15,0,0,1601,69.8016,,C
648,0,3,"O'Driscoll, Miss. Bridget",male,,0,2,223596,9.8796,E25,S
806,0,1,"Chaffee, Mr. Herbert Fuller",female,28.15,0,0,F.C. 12750,15.1094,,C
550,1,2,"Daniel, Mr. Robert Williams",male,,0,0,112058,23.9849,C103,C
349,1,2,"Pickard, Mr. Berk (Berk Trembisky)",male,18.6,0,2,C.A. 29395,10.8904,,C
277,1,3,"Abbott, Mr. Rossmore Edward",female,,1,0,330923,9.7709,D9,S
234,1,1,"O'Brien, Mr. Thomas",male,23.93,0,0,248738,29.2918,,C
87,1,3,"Hippach, Miss. Jean Gertrude",male,34.41,0,0,112059,15.5431,,S
417,0,1,"Palsson, Miss. Torborg Danira",male,23.61,0,2,239853,25.8515,A20,C
803,1,1,"Downton, Mr. William James",male,12.88,0,0,365222,12.1659,F G73,S
336,1,3,"Vander Planke, Mr. Leo Edmondus",male,,0,0,113572,17.5536,B79,C
295,1,2,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,,0,2,SC/PARIS 2149,24.7752,,C
289,1,2,"Dean, Mr. Bertram Frank",female,,1,2,13213,23.9803,B35,C
620,1,1,"Pickard, Mr. Berk (Berk Trembisky)",female,,0,0,237736,14.4324,,S
155,1,1,"Baclini, Miss. Eugenie",female,,1,0,35273,10.7068,,S
489,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,30.88,0,0,16966,28.1964,,S
386,1,3,"Zabour, Miss. Hileni",male,24.0,5,0,PC 17757,5.6656,,C
390,1,3,"Nankoff, Mr. Minko",male,29.53,1,0,11774,9.2667,C101,Q
130,1,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,1.87,0,0,350035,3.8137,,C
574,1,2,"Nye, Mrs. (Elizabeth Ramell)",male,21.14,0,0,220845,27.1978,,C
654,1,2,"Thayer, Mr. John Borland",male,23.69,1,0,364512,29.0549,F2,S
561,1,1,"Drazenoic, Mr. Jozef",female,,1,0,29750,2.374,,S
184,1,2,"McGovern, Miss. Mary",male,31.0,0,0,PC 17593,17.1042,,C
426,1,1,"Taussig, Mr. Emil",male,,1,0,367231,13.6177,,Q
163,1,2,"Petranec, Miss. Matilda",female,30.46,1,0,28228,6.0222,B86,S
99,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",male,48.44,0,0,113781,59.812,,C
159,1,1,"Devaney, Miss. Margaret Delia",male,,1,2,248723,16.4008,D19,S
275,1,1,"Albimona, Mr. Nassef Cassem",female,71.43,0,1,19988,15.1336,C101,C
446,0,1,"Cohen, Mr. Gurshon ""Gus""",female,,0,0,347082,4.9566,,S
665,1,1,"Salonen, Mr. Johan Werner",female,4.68,0,2,A/5 21173,4.3309,D17,Q
416,0,3,"Harrington, Mr. Charles H",male,41.8,1,0,SOTON/O2 3101287,11.416,,S
45,1,3,"Troutt, Miss. Edwina Celia ""Winnie""",male,34.54,0,0,24160,11.0133,,S
148,1,1,"Hedman, Mr. Oskar Arvid",male,66.01,2,1,315094,17.5228,A32,C
253,1,1,"Asplund, Miss. Lillian Gertrud",male,32.01,0,0,CA. 2343,9.1467,,S
122,1,2,"Lehmann, Miss. Bertha",male,31.29,0,0,19950,4.2645,,S
876,1,1,"Brewe, Dr. Arthur Jackson",male,15.81,0,0,SC 1748,113.9465,,S
491,1,2,"Pengelly, Mr. Frederick William",male,21.09,1,0,A/5 3902,10.7771,,C
350,1,3,"Fortune, Miss. Mabel Helen",male,29.23,0,0,19996,167.307,,S
597,1,3,"Collyer, Miss. Marjorie ""Lottie""",male,31.98,0,0,330979,75.9075,,S
163,1,2,"McCoy, Mr. Bernard",female,20.49,0,0,S.C./A.4. 23567,16.231,,C
99,1,3,"Hagland, Mr. Konrad Mathias Reiersen",male,36.29,0,0,347087,18.2726,,C
200,0,3,"Pavlovic, Mr. Stefo",male,38.24,1,0,349245,22.8985,,S
484,1,2,"Osman, Mrs. Mara",female,21.7,0,0,4133,8.9567,,S
538,1,2,"Maioni, Miss. Roberta",male,28.69,0,0,PC 17757,7.3454,B28,S
